,total_confirmed,total_recoveries,total_deaths,new_deaths,new_confirmed,new_recoveries
2020/1/10,41,2,1,0,0,0
2020/1/11,41,6,1,0,0,4
2020/1/12,41,7,1,0,0,1
2020/1/13,41,7,1,0,0,0
2020/1/14,41,7,1,0,0,0
2020/1/15,41,12,2,1,0,5
2020/1/16,45,15,2,0,4,3
2020/1/17,62,19,2,0,17,4
2020/1/18,121,24,3,1,59,5
2020/1/19,198,25,3,0,77,1
2020/1/20,291,25,3,0,77,0
2020/1/21,440,25,9,3,149,0
2020/1/22,574,28,17,8,131,3
2020/1/23,835,34,25,8,261,6
2020/1/24,1297,38,41,16,449,3
2020/1/25,1985,49,56,15,693,11
2020/1/26,2760,51,80,24,775,2
2020/1/27,4535,60,106,26,1775,9
2020/1/28,5997,103,132,26,1462,43
2020/1/29,7736,124,170,38,1739,21
2020/1/30,9720,171,213,43,1985,47
2020/1/31,11821,243,259,46,2104,72
2020/2/1,14411,328,304,45,2591,85
2020/2/2,17238,457,361,57,2831,147
2020/2/3,20471,632,425,64,3235,157
2020/2/4,24363,892,491,66,3893,262
2020/2/5,28060,1153,564,73,3697,261
2020/2/6,31211,1542,637,73,3151,389
2020/2/7,34598,2052,723,86,3401,510
2020/2/8,37251,2651,812,89,2657,600
2020/2/9,40235,3283,909,97,3073,632
2020/2/10,42708,3998,1017,108,2484,716
2020/2/11,44730,4742,1114,97,2022,744
2020/2/12,59882,5915,1368,254,15153,1173
2020/2/13,63932,6728,1381,121,5093,1082
2020/2/14,66576,8101,1524,143,2646,1373
2020/2/15,68584,9425,1666,142,2009,1324
2020/2/16,70635,10853,1772,106,2051,1428
2020/2/17,72528,12561,1870,98,1891,1701
2020/2/18,74279,14387,2006,136,1751,1826
2020/2/19,75101,16170,2121,115,828,1781
2020/2/20,75993,18279,2239,118,892,2109
2020/2/21,76392,20673,2348,109,399,2394
2020/2/22,77041,22907,2445,97,649,2235
2020/2/23,77262,24757,2595,150,416,1850
2020/2/24,77779,27353,2666,71,517,2596
2020/2/25,78190,29775,2718,52,411,2422
2020/2/26,78630,32531,2747,29,440,2756
2020/2/27,78959,36157,2791,44,329,3626
2020/2/28,79389,39049,2838,47,430,2892
2020/2/29,79968,41675,2873,35,579,2626
2020/3/1,80174,44518,2915,42,206,2844
2020/3/2,80302,47260,2947,32,128,2742
